name,price
"Makita 2107FK Portable Band Saw, 710W",272.43
"Makita DBS180Z Cordless Belt Sander, 18 V",1875.35
"Makita D13465 PT ACC Straight Bit, 12 mm Shank Diameter",83.12
"Makita B-65713 Pass Thru Socket, 17 mm Size",16.99
"Makita B-65698 Pass Thru Socket, 15 mm Size",16.99
"Makita B-65648 Pass Thru Socket, 10 mm Size",15.72
Makita TD0101 Impact Driver 230W,455.0
"Makita DPB180Z 18v Lithium-Ion Cordless Portable Band Saw, 120 x 120mm, W/Out Battery",1875.35
Makita DKP180Z - 18V Lithium-Ion Cordless Planer Lxt 82mm W/Out Battery,793.8
"Makita DC18SD 18v Charger Suitable for 14.4v-18v Li-ion Batteries, 18 V, Other, SMALL",151.39
"Makita dcf201z – Fan (Black, Turquoise)",568.62
"Makita CF101DZ 12v MAX Lithium-ion Cordless Fan with Oscillating Function, W/Out Battery",409.1
Makita DCF102Z 14.4/18V Lithium-ion Cordless Fan with Oscillating Function W/Out Battery,310.0
"Makita BHX2500 - Petrol Blower, 4 Stroke, 24.5cc",1190.02
"Makita DLS600Z 18v Lithium-ion Cordless Compound Miter Saw, 165mm, Brushless, W/Out Battery",3001.56
"Makita F32689 PT ACC Arrow Type Staple Pin for DST221Z, 22 mm Size",77.74
"Makita Cordless Nibbler 18V, DJN161Z",1644.54
"Makita DUB185Z Cordless Blower, 18 V",315.25
"Makita DUB184Z 18V Lithium-ion Cordless Blower, Brushless, W/Out Battery",488.29
Makita DCG180ZK - 18V Lithium-Ion Cordless Caulking Gun,1009.02
Makita DRC200Z 18V Li-Ion Robotic Cleaner W/Out Battery,689.33
Makita DML800 14.4V/18V Li-Ion LXT LED Head Light - Batteries And Charger Not Included,194.79
Makita DVC860LZ 36V (18V x 2) Li-ion Cordless Wet & Dry Vacuum Cleaner Dust Extractor - Skin Only,2429.0
"Makita Cordless Vacuum Cleaner, DVC862LZ",1800.0
"Makita DCL180Z - 18V Lithium-Ion Cordless Cleaner, W/Out Battery",1483.36
"Bosch Power Tools Accessories Mini X-Line Screwdriving Set, 2607019676, 25 Pieces",41.77
"Makita P-36924 ACC Abrasive Belt, 610 mm Length x 100 mm Width, 120 g",53.69
"Makita P-37122 Sander Belt for 9910 Belt Sander 5-Pieces, 76 mm x 457 mm Size",41.67
Makita E-05664 Premium Padded Protective Guide Rail Bag for Track Saw Guide Rails up to 59 in.,240.45
Makita Cable Tie Hook and 2 158024 1,35.39
Makita 837670-0 Type 2 Btd/Btp/Dtw Makpac Tray - Multi-Colour,32.28
"Makita B-65492 Water Pump Plier, 300mm Long",122.04
"Makita B-65486 Water Pump Plier, 250mm Long",100.52
"Cordless leaf blower, 6.0Ah battery and charger, electric leaf blower, can replace Makita 18V battery, 2 in 1 cordless snow blower and vacuum cleaner for leaf blowing, snow removal and dust collection",227.0
Makita GD0603 Straight Grinder 6mm 240W Black Blue,556.21
"Makita D13437 PT ACC Straight Bit, 12 mm Shank Diameter",41.67
Makita DEAADP08 USB Adaptor for 10.8 V / 12 V Max. for Li-ion Batteries,123.91
Makita B-65931 Screw driver PH3 (#3X150),23.0
Makita DVC265ZXU Twin 18V (36V) Li-ion LXT Brushless Backpack Vacuum Cleaner - Batteries and Charger Not Included,2197.25
Makita DVC260Z 18v+18v Lithium-Ion Cordless Backpack Vacuum Cleaner,644.65
"Makita Cordless Metal Cutter Chip Collection, 18 V, 51mm, 136 mm, DCS552Z",632.81
"Makita UC4041A Electric Chainsaw, 400 mm Size, 1800W",659.85
Makita ACC Abrasive Belt 76 * 457 240 G P37150,41.67
